"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
1,"台灣中油股份有限公司","第24條","高市勞條字第10436995600號","104/09/24"
,,"第39條",,
2,"亞太國際物流股份有限公司","第32條第2項","高市勞條字第10436598500號","104/09/24"
,,"第36條",,
3,"中南汽車客運股份有限公司","第32條第2項","高市勞條字第10437017700號","104/09/10"
4,"富潤應用材料實業有限公司","第23條第2項","高市勞條字第10437331400號","104/09/18"
,,"第30條第5項",,
5,"高雄汽車客運股限公司","第32條第2項","高市勞條字第10435842000號","104/08/13"
6,"宏華保全股份有限公司","第24條","高市勞條字第10437999300號","104/11/06"
,,"第30條第5項",,
,,"第39條",,
"7","豐齊有限公司","第24條","高市勞條字第10437331600號","104/10/06"
,,"第30條第5項",,
8,"柯延鴻即茶鼎苑陽明店","第22條第2項","高市勞條字第10437388000號","104/10/15"
,,"第36條",,
9,"金美園環保有限公司","第9條第1項","高市勞條字第10437629300號","104/10/15"
,,"第30條第5項",,
10,"高惠倪即倪娃娃創藝店","第22條","高市勞條字第10438070200號","104/10/21"
,,"第30條第5項",,
11,"曾振德即昇昱工程行","第22條第2項","高市勞條字第10438486600號","104/10/28"
,,"第30條第5項",,
12,"百年好合企業有限公司","第39條","高市勞條字第10437679400號","104/10/12"
13,"富佶企業有限公司","第24條","高市勞條字第10437679200號","104/10/13"
14,"復興護理之家","第24條","高市勞條字第10437571500號","104/10/15"
15,"五克拉實業股份有限公司","第36條","高市勞條字第10437994300號","104/10/23"
16,"豐軒科技股份有限公司","第23條第1項","高市勞條字第10437920600號","104/11/02"
17,"良安行有限公司","第38條","高市勞條字第10438077301號","104/11/10"
18,"鍾士敏即笛法美學沙龍","第30條第5項","高市勞條字第10439132800號","104/11/19"
19,"紅布朗國際有限公司","第24條","高市勞條字第10436842600號","104/10/08"
,,"第30條第5項",,
20,"國巨股份有限公司","第32條第2項","高市勞條字第10436597300號","104/09/03"
21,"太洋尼龍股份有限公司","第32條第3項","高市勞條字第10435961500號","104/08/25"
,,"第36條",,
23,"高雄佳醫護理之家","第32條第2項","高市勞條字第10439092400號","104/12/07"
24,"凡迪美容有限公司","第30條第5項","高市勞條字第10438806200號","104/12/07"
25,"田邦廷即邦廷魯味","第36條","高市勞條字第10438691200號","104/12/07"
,,"第38條",,
26,"銨倢企業有限公司","第24條","高市勞條字第10438613200號","104/12/07"
,,"第30條第5項",,
,,"第39條",,
27,"聯橋健康事業股份有限公司","第32條第2項","高市勞條字第10439415800號","104/12/07"
,,"第39條",,
28,"日安環保工程股份有限公司","第30條第5項","高市勞條字第10439583100號","104/12/07"
,,"第36條",,
29,"義守大學","第32條第2項","高市勞條字第10438885400號","104/12/08"
30,"蔡志君即蔡志君中醫診所","第30條第5項","高市勞條字第10438760900號","104/12/08"
31,"千翔保全股份有限公司","第24條","高市勞條字第10439461500號","104/12/08"
32,"均辰祥企業有限公司","第38條","高市勞條字第10439603800號","104/12/08"
,,"第39條",,
33,"大豐旅行社有限公司","第24條","高市勞條字第10439069200號","104/12/10"
34,"元椿實業有限公司","第22條第2項","高市勞條字第10439094800號","104/12/11"
35,"新東福實業有限公司","第23條第2項","高市勞條字第10439264200號","104/12/14"
,,"第30條第5項",,
36,"進盛實業有限公司","第30條第5項","高市勞條字第10439082100號","104/12/14"
37,"優生婦產科醫院","第34條","高市勞條字第10439450300號","104/12/14"
38,"林福壽即正川資訊社","第30條第5項","高市勞條字第10439446500號","104/12/14"
39,"薩摩亞商皇庭珠寶有限公司高雄分公司","第24條","高市勞條字第10439102200號","104/12/14"
,,"第36條",,
,,"第39條",,
40,"纖薇美容坊有限公司","第24條","高市勞條字第10438612600號","104/12/15"
,,"第39條",,
41,"吉田耳鼻喉科診所","第24條","高市勞條字第10439607700號","104/12/15"
,,"第36條",,
42,"楊川即楊記麻辣臭臭鍋","第23條第2項","高市勞條字第10439771000號","104/12/15"
,,"第30條第5項",,
43,"先怡企業有限公司","第21條第1項","高市勞條字第10439751100號","104/12/15"
44,"寵物王國有限公司","第32條第2項","高市勞條字第10439457400號","104/12/16"
45,"洪郁盛即鼎優企業社","第80條","高市勞條字第10439756400號","104/12/17"
46,"龍畿企業股份有限公司","第32條第2項","高市勞條字第10439125800號","104/12/17"
47,"高明怡即高鮮現打果汁","第21條第1項","高市勞條字第10439411100號","104/12/17"
,,"第36條",,
48,"大洋保全股份有限公司","第30條第5項","高市勞條字第10439291100號","104/12/18"
49,"吳世昌即茶鮮坊","第24條","高市勞條字第10439103800號","104/12/18"
,,"第36條",,
,,"第39條",,
50,"京旺創意有限公司","第30條第5項","高市勞條字第10439028000號","104/12/18"
51,"江記有限公司","第30條第5項","高市勞條字第10439049900號","104/12/18"
52,"台灣富士全錄股份有限公司","第24條","高市勞條字第10439961200號","104/12/21"
53,"高雄市私立鳴志升學文理短期補習班","第24條","高市勞條字第10439913500號","104/12/21"
,,"第36條",,
54,"鉅明股份有限公司","第24條","高市勞條字第10439960900號","104/12/21"
55,"英倫國際實業股份有限公司","第22條第2項","高市勞條字第10439668100號","104/12/21"
56,"秀傳護理之家","第24條","高市勞條字第10439192900號","104/12/21"
57,"高億人力資源管理有限公司","第22條第2項","高市勞條字第10439195300號","104/12/22"
58,"得其股份有限公司","第30條第5項","高市勞條字第10439160600號","104/12/22"
59,"財團法人私立高雄醫學大學","第30條第5項","高市勞條字第10439630400號","104/12/22"
60,"富邦人壽保險股份有限公司","第32條第2項","高市勞條字第10439720400號","104/12/23"
61,"不二家","第32條第2項","高市勞條字第10440044000號","104/12/23"
,,"第36條",,
62,"高雄市私立北一升學文理工商管理短期習班遠見分班","第21條第1項","高市勞條字第10439263700號","104/12/23"
63,"台灣三美股份有限公司","第9條","高市勞條字第10440227900號","104/12/23"
,,"第38條",,
64,"聖遠企業有限公司","第21條第1項","高市勞條字第10440228400號","104/12/24"
65,"高雄氣體股份有限公司","第21條第1項","高市勞條字第10439368600號","104/12/24"
66,"宏典旅行社有限公司","第30條第5項","高市勞條字第10439530100號","104/12/24"
67,"允福營造有限公司","第38條","高市勞條字第10439327800號","104/12/24"
68,"先鋒保全股份有限公司","第30條第5項","高市勞條字第10439537100號","104/12/24"
69,"汪賜海","第30條第5項","高市勞條字第10439537200號","104/12/24"
70,"一零三金文具有限公司","第36條","高市勞條字第10439536500號","104/12/24"
71,"旗鴻通運有限公司","第32條第2項","高市勞條字第10440210500號","104/12/25"
72,"羅條原即原園日式涮涮鍋","第36條","高市勞條字第10439366200號","104/12/25"
,,"第39條",,
73,"貝爾手工餅乾專賣店","第22條第2項","高市勞條字第10439367800號","104/12/25"
74,"精上企業有限公司","第30條第5項","高市勞條字第10439925800號","104/12/25"
,,"第38條",,
,,"第39條",,
75,"川湖科技股份有限公司","第24條","高市勞條字第10439873900號","104/12/25"
76,"全國加油站股份有限公司","第24條","高市勞條字第10439461400號","104/12/25"
77,"澄園護理之家","第30條第5項","高市勞條字第10439647800號","104/12/25"
