1,快客國際股份有限公司,勞動基準法第30條第5項,"",˙未翔實際載勞工出勤情形,"府授勞動字
第1040036548號",104年2月13日,"勞動部104年8月4日
勞動法訴字第
1040006151號函訴願
決定駁回"
2,東客股份有限公司,"勞動基準法第24條
勞動基準法第32條第2項
勞動基準法第39條","","˙未依規定給予勞工延長工時工資
˙使勞工延長工時超過法令規定
˙未依規定給予勞工休假日出勤工資","府授勞動字
第1040003353號",104年1月12日,"勞動部104年8月4日
勞動法訴字第
1040003707號函訴願
決定駁回"
3,巨積精密技術有限公司,"勞動基準法第24條
勞動基準法第32條第2項","","˙未依規定給予勞工延長工時工資
˙使勞工延長工時超過法令規定","府授勞動字
第1040038189號",104年2月25日,"勞動部104年8月5日
勞動法訴字第
1040008074號函訴願
決定駁回"
4,金道通運有限公司,勞動基準法第36條,"",˙未每七日給予勞工一日休息作為例假,"府授勞動字
第1040140657號",104年6月29日,"勞動部104年8月5日
勞動法訴字第
1040016798號函訴願
決定駁回"
5,台灣中油股份有限公司,勞動基準法第第39條,"",˙未依規定給予勞工投票日出勤工資,"府授勞動字
第1040099006號",104年5月6日,"勞動部104年8月5日
勞動法訴字第
1040013798號函訴願
決定駁回"
6,五都大飯店股份有限公司,"勞動基準法第22條
勞動基準法第24條
勞動基準法第32條第2項
勞動基準法第36條
勞動基準法第39條","","˙工資未全額直接給付勞工
˙未依規定給予勞工延長工時工資
˙延長勞工工作時間超過法令規定
˙未每七日給予勞工一日休息作為例假
˙未依規定給予勞工休假日出勤工資","府授勞動字
第1030263747號",103年12月24日,"勞動部104年8月5日
勞動法訴字第
1040003070號函訴願
決定駁回"
7,台灣家樂福股份有限公司,勞動基準法第24條,"",˙未依規給付延長工時工資,"府授勞動字
第1040024549號",104年2月5日,"勞動部104年8月5日
勞動法訴字第
1040006464號函訴願
決定駁回"
8,全家加油站股份有限公司,"勞動基準法第24條
勞動基準法第36條
 勞動基準法第39條","","˙未依規定給予勞工延長工時工資
˙未每七日給予勞工一日休息作為例假
˙未依規定給予勞工國定假日出勤工資","府授勞動字
第1040006483號",104年1月16日,"勞動部104年8月6日
勞動法訴字第
1040003955號函訴願
決定駁回"
9,寰宇工具股份有限公司,"勞動基準法第22條第2項
勞動基準法第23條第1項","","˙工資未全額給付勞工
˙未依約定時間給付勞工工資","府授勞動字
第1040114286號",104年5月21日,"勞動部104年8月6日
勞動法訴字第
1040012830號函訴願
決定駁回"
10,環瑋企業股份有限公司,勞動基準法第24條,"",˙延長工作時間未依規定加給工資,"府授勞動字
第1040037457號",104年2月25日,"勞動部104年9月3日
勞動法訴字第
1040006988號函訴願
決定駁回"
11,家福股份有限公司,勞動基準法第24條,"",˙未依規給付延長工時工資,"府授勞動字
第1040014795號",104年2月5日,"勞動部104年9月3日
勞動法訴字第
1040006463號函訴願
決定駁回"
12,全家加油站股份有限公司,"勞動基準法第38條
勞動基準法第39條","","˙未依規定給予勞工特別休假
˙未依規定給予勞工國定假日工資","府授勞動字
第1040033637號",104年2月11日,"勞動部104年9月3日
勞動法訴字第
1040006753號函訴願
決定駁回"
13,法樂蔬食有限公司,"勞動基準法第22條第2項
勞動基準法第39條","","˙工資未全額給付勞工
˙未依規定給予勞工國定假日工資","府授勞動字
第1040030332號",104年2月12日,"勞動部104年9月3日
勞動法訴字第
1040006152號函訴願
決定駁回"
14,"臺中市北區健行國民小學附設幼兒
園",勞動基準法第30條第5項,"",˙未置備勞工出勤紀錄,"府授勞動字
第1040027266號",104年2月11日,"勞動部104年9月3日
勞動法訴字第
1040006755號函訴願
決定駁回"
15,百州機電有限公司,勞動基準法第22條第2項,"",˙工資未全額給付勞工,"府授勞動字
第1040042903號",104年2月26日,"勞動部104年9月3日
勞動法訴字第
1040009566號函訴願
決定駁回"
16,林秀貞即水某茶館,"勞動基準法第21條第1項
勞動基準法第30條第5項","","˙給予勞工工資未達基本工資以上
˙未依法保存勞工出勤紀錄一年。","府授勞動字
第1040042497號",104年2月25日,"勞動部104年9月3日
勞動法訴字第
1040007216號函訴願
決定駁回"
17,"何承原即臺中市私立北屯吉貝兒幼
兒園",勞動基準法第22條第2項,"",˙工資未全額給付勞工,"府授勞動字
第1040067238號",104年3月25日,"勞動部104年9月4日
勞動法訴字第
1040008386號函訴願
決定駁回"
18,寰宇工具股份有限公司,勞動基準法第23條第1項,"",˙未定期給付工資予勞工,"府授勞動字
第1040070340號",104年3月30日,"勞動部104年9月4日
勞動法訴字第
1040010601號函訴願
決定駁回"
19,葉金,勞動基準法第59條第4項,"",˙未依規定給付罹災勞工遺屬職業災害補償,"府授勞動字
第1040037758號",104年2月25日,"勞動部104年9月4日
勞動法訴字第
1040006462號函訴願
決定駁回"
