date,doc_id,corporation,boss,law,action_cnt,rule_cnt
2015-10-29,府勞動字第10435585100號,韓商連加股份有限公司台灣分公司,姜玄玭,30-5,1,1
2015-11-04,府勞動字第10435563000號,廣全科技股份有限公司,陳貴足,32-2,1,1
2015-11-10,府勞動字第10435601700號,喜泰旅行社股份有限公司,江碩平,22-2,1,1
2015-11-13,北市勞動字第10435588000號,沙露德醫藥有限公司,楊雅絲,22-2;30-5,1,2
2015-11-17,北市勞動字第10435580700號,日盛國際商業銀行股份有限公司,黃錦瑭,22-2,1,1
2015-12-08,北市勞動字第10436194600號,日耀興業有限公司,歐陽群,30-5;39,1,2
2015-12-09,北市勞動字第10439530600號,臺北榮民總醫院,張德明,9-1,1,1
2015-12-10,北市勞動字第10433040900號,永勝自動控制股份有限公司,謝國華,30-5,1,1
2015-12-29,北市勞動字第10436291800號,七七七咖啡有限公司,李鳳珠,24;32-1;49-1,1,3
2016-01-04,北市勞動字第10436347800號,臺北市私立祇福老人養護所),黃潮琴,36;38,1,2
2016-01-21,北市勞動字第10439627700號,微風廣場實業股份有限公司,蔡明澤,24;32-2,1,2
2016-01-21,北市勞動字第10439678000號,微風國際股份有限公司,黃瑞妍,24;30-1;32-2,1,3
2016-02-02,北市勞動字第10439632600號,長庚醫療財團法人台北長庚紀念醫院,謝燦堂,24;30-5;,1,3
2016-02-18,北市勞動字第10530229500號,國泰世華商業銀行股份有限公司,陳祖培,50,1,1
2016-02-23,北市勞動字第10530234300號,扞將股份有限公司,陸柏熹,24;30-1;36;39,1,4
2016-03-03,北市勞動字第10530259500號,驅勢文教事業有限公司,鄭志鵬,22-2;35;36;37,1,4
2016-03-09,北市勞動字第10533200500號,艾可國際股份有限公司,許惠婷,22-2;30-5;32-2,1,3
2016-03-11,北市勞動字第10531915300號,貝登堡國際股份有限公司,詹煥楨,30-5,1,1
2016-03-14,北市勞動字第10530630300號,揚捷國際有限公司,高慧君,9-1,1,1
2016-03-14,北市勞動字第10533169600號,大華聯合會計師事務所）,蔡瑞玲,24;32-2;36,1,3
2016-03-16,北市勞動字第10533269200號,長鴻營造股份有限公司,吳啟章,17,1,1
2016-03-16,北市勞動字第10533284000號,首善有限公司,袁世華,30-5,1,1
2016-03-21,北市勞動字第10530258400號,天星通運有限公司,陳麗玉,30-5;32-2,1,2
2016-03-21,北市勞動字第10508078200號,遠東國際商業銀行股份有限公司,侯金英,24,1,1
2016-03-22,北市勞動字第10530342700號,長鴻營造股份有限公司,吳啟章,9-1,1,1
2016-03-22,北市勞動字第10530252300號,財團法人蒲公英希望基金會,李加寶,24,1,1
